Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Action,877.83,525.0,159.95,187.38,1751.18
Sports,683.35,376.85,135.37,134.97,1330.93
Shooter,582.6,313.27,38.28,102.69,1037.37
Role-Playing,327.28,188.06,352.31,59.61,927.37
Platform,447.05,201.63,130.77,51.59,831.37
Misc,410.24,215.98,107.76,75.32000000000001,809.96
Racing,359.42,238.39000000000001,56.69,77.27,732.04
Fighting,223.59,101.32000000000001,87.35000000000001,36.68,448.91
Simulation,183.31,113.38,63.7,31.52,392.2
Puzzle,123.78,50.78,57.31,12.55,244.95
Adventure,105.8,64.13,52.07,16.81,239.04
Strategy,68.7,45.34,49.46,11.36,175.12
