Global_Sales,metacritic
35.82,82.0
33.0,80.0
30.01,89.0
28.62,87.0
23.42,91.0
21.82,61.0
21.4,97.0
20.81,93.0
16.38,97.0
16.15,94.0
14.76,85.0
14.64,81.0
14.03,74.0
13.73,74.0
13.51,86.0
13.46,85.0
13.1,93.0
13.04,93.0
12.73,81.0
12.14,91.0
11.98,97.0
11.89,94.0
11.66,89.0
11.52,97.0
11.02,95.0
10.95,96.0
10.79,90.0
10.77,84.0
10.69,86.0
10.57,95.0
10.42,94.0
10.21,68.0
9.88,91.0
9.82,78.0
9.76,86.0
9.72,83.0
9.59,68.0
9.52,74.0
9.49,93.0
9.32,92.0
9.2,83.0
9.09,88.0
9.02,72.0
8.84,94.0
8.49,84.0
8.11,86.0
8.06,67.0
7.81,62.0
7.72,78.0
7.69,97.0
7.6,78.0
7.6,99.0
7.37,83.0
7.34,86.0
7.27,49.0
7.23,86.0
7.13,91.0
7.07,92.0
6.96,88.0
6.96,84.0
6.9,86.0
6.83,88.0
6.83,92.0
6.76,93.0
6.73,96.0
6.72,92.0
6.69,85.0
6.67,74.0
6.6,95.0
6.59,82.0
6.59,85.0
6.56,94.0
6.43,90.0
6.4,85.0
6.36,83.0
6.34,95.0
6.31,92.0
6.28,93.0
6.27,85.0
6.24,91.0
6.11,90.0
6.05,96.0
6.03,94.0
6.03,94.0
5.95,92.0
5.82,91.0
5.72,67.0
5.65,76.0
5.57,89.0
5.55,88.0
5.55,80.0
5.53,94.0
5.51,92.0
5.43,83.0
5.42,83.0
5.3,84.0
5.29,85.0
5.27,90.0
5.27,89.0
5.26,85.0
5.21,84.0
5.2,88.0
5.17,90.0
5.15,71.0
5.14,67.0
5.13,78.0
5.13,78.0
5.11,86.0
5.08,97.0
5.05,91.0
5.02,92.0
4.96,91.0
4.83,80.0
4.82,82.0
4.79,88.0
4.77,85.0
4.76,94.0
4.68,91.0
4.68,73.0
4.64,91.0
4.63,88.0
4.61,95.0
4.57,81.0
4.48,77.0
4.45,78.0
4.45,94.0
4.41,94.0
4.39,94.0
4.33,87.0
4.31,86.0
4.31,78.0
4.31,89.0
4.26,84.0
4.25,93.0
4.25,91.0
4.23,84.0
4.21,99.0
4.19,85.0
4.14,77.0
4.12,96.0
4.1,93.0
4.09,84.0
4.09,91.0
4.08,84.0
4.03,80.0
4.02,83.0
4.01,91.0
3.99,89.0
3.9,90.0
3.88,84.0
3.88,94.0
3.87,88.0
3.85,86.0
3.79,81.0
3.78,66.0
3.78,78.0
3.76,85.0
3.73,92.0
3.72,75.0
3.69,81.0
3.69,70.0
3.65,92.0
3.63,68.0
3.62,83.0
3.61,76.0
3.6,78.0
3.54,78.0
3.54,72.0
3.53,81.0
3.52,89.0
3.51,86.0
3.5,91.0
3.48,87.0
3.45,88.0
3.44,81.0
3.43,81.0
3.42,70.0
3.41,80.0
3.38,91.0
3.38,87.0
3.36,95.0
3.31,89.0
3.28,82.0
3.28,74.0
3.28,76.0
3.23,83.0
3.18,80.0
3.17,84.0
3.15,87.0
3.15,82.0
3.15,67.0
3.15,85.0
3.12,94.0
3.12,80.0
3.11,94.0
3.11,82.0
3.09,67.0
3.07,89.0
3.07,91.0
3.07,90.0
3.04,88.0
3.04,73.0
3.03,78.0
3.02,91.0
3.02,91.0
3.02,82.0
3.0,78.0
3.0,73.0
2.99,84.0
2.97,87.0
2.97,67.0
2.97,85.0
2.96,67.0
2.96,76.0
2.96,87.0
2.93,89.0
2.92,83.0
2.9,86.0
2.86,68.0
2.86,89.0
2.85,81.0
2.83,96.0
2.83,72.0
2.82,97.0
2.8,85.0
2.79,76.0
2.79,86.0
2.78,87.0
2.78,90.0
2.77,88.0
2.77,84.0
2.72,83.0
2.71,81.0
2.7,95.0
2.7,86.0
2.7,76.0
2.68,80.0
2.68,94.0
2.68,83.0
2.67,72.0
2.65,91.0
2.63,82.0
2.62,72.0
2.61,74.0
2.57,91.0
2.56,73.0
2.52,97.0
2.51,86.0
2.49,84.0
2.49,79.0
2.48,87.0
2.48,83.0
2.44,80.0
2.43,83.0
2.41,59.0
2.41,83.0
2.41,72.0
2.39,74.0
2.39,74.0
2.38,92.0
2.37,96.0
2.35,79.0
2.33,86.0
2.32,86.0
2.31,82.0
2.3,78.0
2.29,74.0
2.29,80.0
2.28,89.0
2.27,75.0
2.27,80.0
2.27,74.0
2.27,81.0
2.26,83.0
