Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Nintendo,816.87,418.74,455.42,95.33,1786.56
Electronic Arts,595.07,371.27,14.04,129.77,1110.32
Activision,429.7,215.53,6.54,75.34,727.46
Sony Computer Entertainment,265.21999999999997,187.72,74.1,80.45,607.5
Ubisoft,253.43,163.32,7.5,50.26,474.72
Take-Two Interactive,220.49,118.14,5.83,55.24,399.54
THQ,208.77,94.73,5.01,32.14,340.77
Konami Digital Entertainment,92.16,69.69,91.3,30.31,283.64
Sega,109.4,82.0,57.03,24.52,272.99
Namco Bandai Games,69.52,42.63,127.07000000000001,14.69,254.09
Microsoft Game Studios,155.35,68.61,3.26,18.56,245.79
Capcom,78.59,39.22,68.08,14.84,200.89
Atari,110.04,27.12,10.71,9.01,157.22
Warner Bros. Interactive Entertainment,81.18,53.12,1.04,18.56,153.89000000000001
Square Enix,48.65,32.82,49.88,13.89,145.18
Disney Interactive Studios,71.34,34.64,0.56,13.18,119.96000000000001
Eidos Interactive,49.19,35.63,6.109999999999999,8.02,98.98
LucasArts,49.97,26.63,0.2,10.5,87.34
Bethesda Softworks,39.72,30.73,1.45,10.16,82.14
Midway Games,45.46,18.38,0.12000000000000001,5.74,69.85
Acclaim Entertainment,42.75,16.75,1.1400000000000001,3.37,64.14
Vivendi Games,37.0,16.04,0.22999999999999998,4.88,58.21
SquareSoft,11.06,4.95,40.13,1.54,57.65
505 Games,31.830000000000002,16.43,2.05,5.44,55.91
Tecmo Koei,14.08,7.08,29.21,3.18,53.55
Codemasters,11.92,28.69,0.83,6.3,47.87
Virgin Interactive,18.99,12.94,8.94,3.03,43.87
Unknown,18.490000000000002,7.53,6.0600000000000005,2.48,34.66
Enix Corporation,0.76,0.31,32.4,0.27,33.74
Deep Silver,12.73,8.96,1.09,2.88,25.67
GT Interactive,15.57,8.49,0.02,1.1400000000000001,25.23
D3Publisher,11.52,5.01,4.65,2.88,24.13
Sony Computer Entertainment Europe,8.96,9.0,2.5,3.42,23.89
Hudson Soft,2.55,0.9400000000000001,19.21,0.32,23.01
MTV Games,14.98,4.01,0.01,2.0300000000000002,20.97
Universal Interactive,9.08,6.7299999999999995,0.24,1.75,17.77
Banpresto,0.41000000000000003,0.2,16.44,0.36,17.4
Rising Star Games,10.5,2.98,2.5300000000000002,1.22,17.31
Infogrames,10.5,4.6,0.38,0.85,16.34
Majesco Entertainment,12.08,2.91,0.02,0.9600000000000001,16.08
Hasbro Interactive,10.99,3.58,0.0,0.64,15.22
Nippon Ichi Software,5.22,1.93,5.87,1.35,14.28
989 Studios,9.23,3.3000000000000003,0.1,0.67,13.32
Zoo Digital Publishing,9.52,2.45,0.13999999999999999,0.78,12.87
Atlus,4.2,1.1,6.73,0.77,12.74
Level 5,0.2,0.27,11.65,0.04,12.17
Empire Interactive,6.03,3.77,0.42,1.12,11.29
ASCII Entertainment,0.7,0.44,9.4,0.36000000000000004,10.89
3DO,6.48,3.04,0.0,0.63,10.120000000000001
Crave Entertainment,6.91,1.87,0.45,0.67,9.93
RedOctane,6.44,1.31,0.03,0.91,8.68
TDK Mediactive,5.41,2.42,0.0,0.45,8.31
Mindscape,4.64,2.5100000000000002,0.0,0.55,7.74
Global Star,5.25,1.71,0.0,0.63,7.65
Focus Home Interactive,1.72,4.69,0.04,1.04,7.51
Fox Interactive,3.7600000000000002,3.19,0.0,0.43,7.39
Psygnosis,3.63,2.48,0.72,0.45,7.27
Activision Value,5.53,0.88,0.0,0.57,6.96
Ignition Entertainment,4.03,1.36,0.68,0.59,6.82
Interplay,3.8600000000000003,2.27,0.01,0.48,6.66
SouthPeak Games,4.7700000000000005,0.91,0.07,0.56,6.35
Spike,3.3200000000000003,0.33,2.12,0.37,6.15
Red Orb,1.54,3.61,0.0,0.1,5.24
Parker Bros.,4.65,0.27,0.0,0.05,4.970000000000001
Tomy Corporation,1.84,0.75,2.12,0.25,4.97
BAM! Entertainment,3.16,1.45,0.03,0.24,4.95
Zoo Games,4.52,0.0,0.0,0.27,4.82
Imagic,4.51,0.27,0.0,0.04,4.82
Arena Entertainment,3.7,0.88,0.0,0.14,4.72
Koch Media,2.31,1.6,0.0,0.8200000000000001,4.71
City Interactive,1.7,2.27,0.07,0.53,4.61
Ubisoft Annecy,1.27,0.66,2.28,0.27,4.46
Nordic Games,0.76,3.18,0.0,0.51,4.44
Destineer,4.0600000000000005,0.05,0.0,0.26,4.36
Play It,2.5300000000000002,1.23,0.0,0.55,4.3100000000000005
PQube,1.91,0.92,1.05,0.4,4.27
Marvelous Interactive,1.61,0.17,2.22,0.18000000000000002,4.17
Palcom,3.38,0.44,0.31,0.04,4.17
ChunSoft,0.37,0.0,3.6100000000000003,0.09,4.07
Idea Factory,0.53,0.05,3.32,0.1,4.0200000000000005
Game Factory,3.31,0.2,0.0,0.23,3.79
